"Agriculture,Food,Textiles",25624
Coating,44366
Gas,14331
Organic Compounds,124981
Resins,100725
Miscellaneous-chemical,296907
Communications,122981
Computer Hardware & Software,91614
Computer Peripherials,24282
Information Storage,51460
Drugs,84824
Surgery & Med Inst.,70573
Biotechnology,32170
Miscellaneous-Drgs&Med,16632
Electrical Devices,99950
Electrical Lighting,46950
Measuring & Testing,84098
Nuclear & X-rays,42880
Power Systems,103534
Semiconductor Devices,52603
Miscellaneous-Elec,69726
Mat. Proc & Handling,167725
Metal Working,94679
Motors & Engines + Parts,109459
Optics,64848
Transportation,88856
Miscellaneous-Mechanical,155811
"Agriculture,Husbandry,Food",63994
Amusement Devices,29619
Apparel & Textile,55158
Earth Working & Wells,43822
"Furniture,House Fixtures",61256
Heating,40733
Pipes & Joints,27151
Receptacles,63173
Miscellaneous-Others,256427
